id,type,group,pattern,group_color,perceived_color,index,section,garment_group,category,simplified_pattern,color_gategory
0416961021,Trousers,Garment Lower body,Solid,Light Blue,Blue,Divided,Divided Collection,Trousers,lower_body,solid,cool
0416961031,Trousers,Garment Lower body,All over pattern,Greenish Khaki,Khaki green,Divided,Divided Collection,Trousers,lower_body,printed,cool
0416961033,Trousers,Garment Lower body,Solid,Red,Red,Divided,Divided Collection,Trousers,lower_body,solid,warm
0460891004,Dress,Garment Full body,All over pattern,Dark Red,Red,Divided,Divided Projects,Dresses Ladies,one_piece,printed,warm
0461327001,Sweater,Garment Upper body,Solid,Black,Black,Menswear,Men Suits & Tailoring,Knitwear,upper_body,solid,neutral
0461327005,Sweater,Garment Upper body,Solid,Yellowish Brown,Brown,Menswear,Men Suits & Tailoring,Knitwear,upper_body,solid,other
0461327006,Sweater,Garment Upper body,Melange,Grey,Grey,Menswear,Men Suits & Tailoring,Knitwear,upper_body,solid,neutral
0461327007,Sweater,Garment Upper body,Melange,Dark Blue,Blue,Menswear,Men Suits & Tailoring,Knitwear,upper_body,solid,cool
0461327008,Sweater,Garment Upper body,Melange,Light Beige,Beige,Menswear,Men Suits & Tailoring,Knitwear,upper_body,solid,other
0461327018,Sweater,Garment Upper body,Solid,Yellowish Brown,Brown,Menswear,Men Suits & Tailoring,Knitwear,upper_body,solid,other
0462162013,Trousers,Garment Lower body,Denim,Dark Blue,Blue,Menswear,Denim Men,Trousers Denim,lower_body,structured,cool
0462162014,Trousers,Garment Lower body,Denim,Black,Black,Menswear,Denim Men,Trousers Denim,lower_body,structured,neutral
0463086004,Dress,Garment Full body,Solid,Black,Black,Divided,Divided Basics,Jersey Basic,one_piece,solid,neutral
0463285007,Blouse,Garment Upper body,Stripe,Light Pink,Pink,Divided,Divided Collection,Blouses,upper_body,unknown,warm
0463601005,T-shirt,Garment Upper body,Solid,Light Pink,Pink,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,solid,warm
0463601008,T-shirt,Garment Upper body,Solid,Dark Grey,Unknown,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,solid,neutral
0463601012,T-shirt,Garment Upper body,Solid,Light Pink,Pink,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,solid,warm
0463601013,T-shirt,Garment Upper body,Stripe,White,White,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,unknown,neutral
0463601014,T-shirt,Garment Upper body,Stripe,Dark Red,Red,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,unknown,warm
0463601015,T-shirt,Garment Upper body,Stripe,White,White,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,unknown,neutral
0463601016,T-shirt,Garment Upper body,Solid,Dark Green,Green,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,solid,cool
0463601019,T-shirt,Garment Upper body,Stripe,White,White,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,unknown,neutral
0463601020,T-shirt,Garment Upper body,Stripe,White,White,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,unknown,neutral
0463601022,T-shirt,Garment Upper body,Solid,Light Pink,Pink,Children Sizes 134-170,Girls Underwear & Basics,Jersey Basic,upper_body,solid,warm
0463670002,Dress,Garment Full body,Solid,Dark Blue,Blue,Ladieswear,Womens Everyday Collection,Dresses Ladies,one_piece,solid,cool
0464332001,Sweater,Garment Upper body,Treatment,Black,Black,Divided,Divided Basics,Jersey Basic,upper_body,structured,neutral
0464363015,T-shirt,Garment Upper body,Melange,Pink,Pink,Divided,Divided Basics,Jersey Basic,upper_body,solid,warm
0464363016,T-shirt,Garment Upper body,Stripe,White,White,Divided,Divided Basics,Jersey Basic,upper_body,unknown,neutral
0464541002,Dress,Garment Full body,Lace,Black,Black,Divided,Divided Collection,Dresses Ladies,one_piece,printed,neutral
0465051005,Dress,Garment Full body,Check,Pink,Pink,Divided,Divided Collection,Dresses Ladies,one_piece,structured,warm
0465619005,Top,Garment Upper body,Colour blocking,Dark Green,Green,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0465619010,Top,Garment Upper body,Colour blocking,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0465619011,Top,Garment Upper body,Colour blocking,Black,Black,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0465619012,Top,Garment Upper body,Colour blocking,Greenish Khaki,Khaki green,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0465619013,Top,Garment Upper body,Colour blocking,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0466579004,Trousers,Garment Lower body,Denim,Black,Black,Menswear,Contemporary Smart,Trousers,lower_body,structured,neutral
0466595001,Trousers,Garment Lower body,Solid,Black,Black,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0466595002,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0466595003,Trousers,Garment Lower body,Solid,Beige,Beige,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0466595017,Trousers,Garment Lower body,Solid,Light Pink,Pink,Menswear,Contemporary Smart,Trousers,lower_body,solid,warm
0466595019,Trousers,Garment Lower body,Solid,Yellowish Brown,Brown,Menswear,Contemporary Smart,Trousers,lower_body,solid,other
0466595021,Trousers,Garment Lower body,Solid,Dark Red,Red,Menswear,Contemporary Smart,Trousers,lower_body,solid,warm
0466595024,Trousers,Garment Lower body,Solid,Yellowish Brown,Brown,Menswear,Contemporary Smart,Trousers,lower_body,solid,other
0466595025,Trousers,Garment Lower body,Solid,Dark Red,Red,Menswear,Contemporary Smart,Trousers,lower_body,solid,warm
0466595026,Trousers,Garment Lower body,Solid,Dark Turquoise,Turquoise,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0466599001,Trousers,Garment Lower body,Solid,Black,Black,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0466599002,Trousers,Garment Lower body,Melange,Off White,White,Menswear,Contemporary Smart,Trousers,lower_body,solid,neutral
0466599008,Trousers,Garment Lower body,Solid,Dark Blue,Blue,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0466599010,Trousers,Garment Lower body,Melange,Dark Blue,Blue,Menswear,Contemporary Smart,Trousers,lower_body,solid,cool
0466852005,Trousers,Garment Lower body,Solid,Black,Black,Sport,Men H&M Sport,Jersey Fancy,lower_body,solid,neutral
0466948004,T-shirt,Garment Upper body,Stripe,Grey,Grey,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,unknown,neutral
0466948007,T-shirt,Garment Upper body,Solid,Red,Red,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,warm
0466948008,T-shirt,Garment Upper body,Colour blocking,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0466948009,T-shirt,Garment Upper body,Solid,Green,Green,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,solid,cool
0466948011,T-shirt,Garment Upper body,Colour blocking,Black,Black,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0466948012,T-shirt,Garment Upper body,Colour blocking,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0466948013,T-shirt,Garment Upper body,Colour blocking,Grey,Grey,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0466948014,T-shirt,Garment Upper body,Colour blocking,White,White,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0466948016,T-shirt,Garment Upper body,Colour blocking,Black,Black,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0466948017,T-shirt,Garment Upper body,Colour blocking,Greenish Khaki,Khaki green,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0466948018,T-shirt,Garment Upper body,Colour blocking,White,White,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0466948019,T-shirt,Garment Upper body,Colour blocking,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0466948027,T-shirt,Garment Upper body,Colour blocking,Grey,Grey,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0466948028,T-shirt,Garment Upper body,Colour blocking,Black,Black,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0466948029,T-shirt,Garment Upper body,Colour blocking,Greenish Khaki,Khaki green,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0466948030,T-shirt,Garment Upper body,Colour blocking,Dark Blue,Blue,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,cool
0466948031,T-shirt,Garment Upper body,Colour blocking,Black,Black,Children Sizes 92-140,Boys Underwear & Basics,Jersey Basic,upper_body,structured,neutral
0467297004,Trousers,Garment Lower body,Solid,Beige,Beige,Menswear,Contemporary Casual,Trousers,lower_body,solid,neutral
0467302028,Dress,Garment Full body,All over pattern,White,White,Divided,Divided Collection,Dresses Ladies,one_piece,printed,neutral
0467302053,Dress,Garment Full body,All over pattern,Dark Red,Red,Divided,Divided Collection,Dresses Ladies,one_piece,printed,warm
0467302054,Dress,Garment Full body,All over pattern,Black,Black,Divided,Divided Collection,Dresses Ladies,one_piece,printed,neutral
0467302066,Dress,Garment Full body,All over pattern,Red,Red,Divided,Divided Collection,Dresses Ladies,one_piece,printed,warm
0467302079,Dress,Garment Full body,Solid,Dark Blue,Blue,Divided,Divided Collection,Dresses Ladies,one_piece,solid,cool
0467302080,Dress,Garment Full body,All over pattern,White,White,Divided,Divided Collection,Dresses Ladies,one_piece,printed,neutral
0467302099,Dress,Garment Full body,Solid,Black,Black,Divided,Divided Collection,Dresses Ladies,one_piece,solid,neutral
0467302100,Dress,Garment Full body,All over pattern,Dark Blue,Blue,Divided,Divided Collection,Dresses Ladies,one_piece,printed,cool
0468255003,Dress,Garment Full body,Solid,Black,Black,Ladieswear,Womens Tailoring,Jersey Fancy,one_piece,solid,neutral
0469137001,Top,Garment Upper body,Solid,Black,Black,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,solid,neutral
0469137010,Top,Garment Upper body,Solid,Red,Red,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,solid,warm
0469137011,Top,Garment Upper body,Solid,Light Beige,Beige,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,solid,other
0469137012,Top,Garment Upper body,Solid,Dark Red,Red,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,solid,warm
0469137013,Top,Garment Upper body,Solid,Yellowish Brown,Brown,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,solid,other
0469137015,Top,Garment Upper body,Solid,Green,Khaki green,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,solid,cool
0469137016,Top,Garment Upper body,All over pattern,Black,Black,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,printed,neutral
0469137017,Top,Garment Upper body,Solid,Dark Blue,Blue,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,solid,cool
0469137018,Top,Garment Upper body,Solid,Dark Orange,Orange,Ladieswear,Womens Everyday Collection,Jersey Fancy,upper_body,solid,warm
0469562002,Trousers,Garment Lower body,Denim,Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
0469562006,Trousers,Garment Lower body,Denim,Black,Black,Ladieswear,Mama,Trousers,lower_body,structured,neutral
0469562013,Trousers,Garment Lower body,Denim,Grey,Grey,Ladieswear,Mama,Trousers,lower_body,structured,neutral
0469562015,Trousers,Garment Lower body,Denim,Dark Blue,Blue,Ladieswear,Mama,Trousers,lower_body,structured,cool
